audience_freshness,poster_url,rt_audience_score,rt_freshness,rt_score,2015_inflation,adjusted,genres,genre_1,genre_2,genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,title,worldwide_gross,year
89,http://resizing.flixster.com/Tv9f7mIJrCc--JvPXl60rMI3Pkw=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/43/11134356_ori.jpg,4.3,99,8.9,0.0828,1151241371.27,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,8.4,103,1,G,18-Jun-10,Walt Disney Pictures / Pixar,Toy Story 3,1063171911.00,2010
47,http://resizing.flixster.com/z_2ln7vpS1fHYrvEZAcr9bYztSI=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/95/34/10953481_ori.jpg,3.2,39,5,0.1006,846695292.79,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,5.8,158,5,PG-13,13-Nov-09,Columbia,2012,769304749.00,2009
57,http://resizing.flixster.com/0foscMemcena5-qSG3LfkWNmNmE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/10/11171070_ori.jpg,3.4,37,5.1,0.1006,534814499.80,"Thriller
Mystery",Thriller,Mystery,,6.7,138,9,PG-13,12-Dec-80,Columbia / Imagine,Angels & Demons,485930816.00,2009
82,http://resizing.flixster.com/OPDpDBP1P_qiiOjKOW9042R4R3g=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176792_ori.jpg,4.1,83,7.4,0.1006,3025614789.35,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.9,162,1,PG-13,18-Dec-09,Fox,Avatar,2749064328.00,2009
77,http://resizing.flixster.com/5jRb-4cS1AXhTEYE-wQ3wpHlZHY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/39/11163943_ori.jpg,3.8,84,7.2,0.1006,1028416946.70,"Fantasy
Family
Adventure",Fantasy,Family,Adventure,7.5,153,2,PG,15-Jul-09,Warner Bros.,Harry Potter and the Half-Blood Prince,934416487.00,2009
63,http://resizing.flixster.com/ee9qtz-r1W0A5tmu-Q1vSj1AxvA=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/89/10938903_ori.jpg,3.6,45,5.4,0.1006,975885765.83,"Animation
Adventure
Action",Animation,Adventure,Action,7,94,3,PG,1-Jul-09,Fox / Blue Sky,Ice Age: Dawn of the Dinosaurs,886686817.00,2009
77,http://resizing.flixster.com/t90NXGvHd_JXdRtTgD2BA8WPQKM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166728_ori.jpg,3.7,70,6.2,0.1006,576744932.84,"Crime
Adventure
Action",Crime,Adventure,Action,7.6,128,8,PG-13,25-Dec-09,Warner Bros.,Sherlock Holmes,524028679.00,2009
84,http://resizing.flixster.com/F3uvNtnigwJMOXpuCgMttqWBU14=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166717_ori.jpg,4,79,6.8,0.1006,514511873.56,Comedy,Comedy,,,7.8,100,10,R,5-Jun-09,Warner Bros. / Legendary,The Hangover,467483912.00,2009
61,http://resizing.flixster.com/1fiLyMqNvE2Ggu52KZf7-3We8ak=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/44/11174487_ori.jpg,3.6,28,4.7,0.1006,781234707.77,"Fantasy
Drama
Adventure",Fantasy,Drama,Adventure,4.6,130,7,PG-13,20-Nov-09,Summit,The Twilight Saga: New Moon,709827462.00,2009
58,http://resizing.flixster.com/oNcE9YJ500YHi2_2wGnclRTcyd8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176669_ori.jpg,3.5,19,3.9,0.1006,920434198.70,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,6,150,4,PG-13,24-Jun-09,Paramount / DreamWorks,Transformers: Revenge of the Fallen,836303693.00,2009
90,http://resizing.flixster.com/rqDzFEQ7SZfbZ_sFTjlbOufZRWw=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/89/43/10894361_ori.jpg,3.8,98,8.7,0.1006,804914384.79,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,8.3,96,6,PG,29-May-09,Disney / Pixar,Up,731342744.00,2009
60,http://resizing.flixster.com/pZEMKqMe1dRkWRkxtAI8aFv7wac=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176707_ori.jpg,3.6,41,5.4,0.0967,684753923.91,"Fantasy
Action",Fantasy,Action,,6.5,92,4,PG-13,2-Jul-08,Columbia,Hancock,624386746.00,2008
54,http://resizing.flixster.com/qzgCz6mYia28SvhY2MKKYr1A8eA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/88/10868884_ori.jpg,3.3,78,6.9,0.0967,862689853.26,"Adventure
Action",Adventure,Action,,6.2,122,2,PG-13,22-May-08,Paramount / Lucasfilm,Indiana Jones and the Kingdom of the Crystal Skull,786636033.00,2008
91,http://resizing.flixster.com/cXKTN6mCA8-ig98jkg7RVBhnMv4=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/35/10933541_ori.jpg,4.2,93,7.6,0.0967,641750240.94,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.9,126,8,PG-13,2-May-08,Paramount / Marvel Studios,Iron Man,585174222.00,2008
82,http://resizing.flixster.com/Xx3Kv2GPxvCvWWGe_BjJCd6mq3w=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/78/11177843_ori.jpg,3.9,87,7.2,0.0967,692823108.65,"Animation
Adventure
Action",Animation,Adventure,Action,7.6,92,3,PG,6-Jun-08,Paramount / DreamWorks,Kung Fu Panda,631744560.00,2008
66,http://resizing.flixster.com/8qu9PY5y1_Vy98M35ZAVSoLceOM=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/92/10849221_ori.jpg,3.6,64,5.9,0.0967,662286859.38,"Animation
Adventure
Action",Animation,Adventure,Action,6.7,89,6,PG,7-Nov-08,Paramount / DreamWorks,Madagascar: Escape 2 Africa,603900354.00,2008
66,http://resizing.flixster.com/-1n0hNCTG4FcJyeGOFqK3yktLk0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/19/11171949_ori.jpg,3.6,54,5.5,0.0967,668787232.35,"Romance
Musical
Comedy",Romance,Musical,Comedy,6.4,108,5,PG-13,18-Jul-08,Universal,Mamma Mia!,609827661.00,2008
58,http://resizing.flixster.com/dmf-4VeDXkWOnVqcZgwmDL6ZRDM=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/77/10867703_ori.jpg,3.4,65,6.1,0.0967,642755355.79,"Adventure
Action",Adventure,Action,,6.7,106,7,PG-13,14-Nov-08,MGM / Columbia,Quantum of Solace,586090727.00,2008
73,http://resizing.flixster.com/0p446SDsCxtLqOzHPuQNS1dxZQE=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/92/11129292_ori.jpg,3.7,67,6.3,0.0967,460239821.32,"Family
Adventure
Action",Family,Adventure,Action,6.6,150,10,PG,16-May-08,Disney / Walden Media,The Chronicles of Narnia: Prince Caspian,419665568.00,2008
94,http://resizing.flixster.com/csINXh6bBY_YMax7pD2fFGtGDjQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/51/11165160_ori.jpg,4.4,94,8.6,0.0967,1093392302.94,"Drama
Crime
Action",Drama,Crime,Action,9,152,1,PG-13,18-Jul-08,Warner Bros. / Legendary,The Dark Knight,997000000.00,2008
89,http://resizing.flixster.com/zWzdOF4aj3aZlB3vX7BlUQ3PbSk=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/09/10930953_ori.jpg,4.2,96,8.5,0.0967,571713515.70,"Family
Animation
Adventure",Family,Animation,Adventure,8.4,98,9,G,27-Jun-08,Disney / Pixar,WALL-E,521311860.00,2008
89,http://resizing.flixster.com/MqZzDrxTe4GO7kHb2bo-16W9Wo8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166714_ori.jpg,4.1,60,6.1,0.1388,519365892.24,"War
Fantasy
Action",War,Fantasy,Action,7.8,117,10,R,9-Mar-07,Warner Bros. / Legendary,300,456068181.00,2007
81,http://resizing.flixster.com/O5pmr1P4sAe4L0G6SUFYlLGiKec=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168876_ori.jpg,3.9,79,6.9,0.1388,1070332714.40,"Fantasy
Family
Adventure",Fantasy,Family,Adventure,7.4,138,2,PG-13,11-Jul-07,Warner Bros.,Harry Potter and the Order of the Phoenix,939885929.00,2007
