country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Mexico,,,,,,,,,,,,43400,45100,47300,55200,63000,67900,79200,95000,114000,147000,171000,196000,193000,195000,193000,182000,191000,190000,191000,195000,202000,202000,203000,204000,202000,212000,220000,224000,221000,222000,226000,226000,237000,247000,254000,251000,244000,233000,220000,218000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,65.8,58.1,63.3,52.6,54.1,91,100,62.6,63.9,63.8,74.2,75.5,84.6,92.2,88.4,87.3,88.1,102,104,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,2490,2680,2980,3280,3090,2750,3250,2900,2560,2330,2260,1870,1810,1860,1840,1920,1900,2050,1980,2020,3420,3750,4480,5110,7690,
Morocco,,,,,,,,,,,,620,683,688,733,747,808,899,863,896,878,812,789,836,879,874,891,812,831,758,773,835,816,789,849,831,877,842,765,615,571,584,586,639,680,610,629,639,633,782,
Mozambique,,,,,,,,,,,,6170,6130,6130,6180,6280,6250,6120,6040,6060,6090,6120,6060,5970,5950,5920,5820,5780,5710,5660,5610,5600,5630,5700,5800,5910,6010,6160,6770,6960,7260,7550,7760,7730,9050,10100,10700,11100,11500,11900,
Myanmar,,,,,,,,,,,,7340,7630,7810,7870,8130,8530,8830,9000,9210,9520,9640,9760,9990,10400,11100,11200,10900,10600,10900,10700,10500,10800,10400,11000,11000,10900,11200,12200,13700,15400,15800,16500,18400,20600,23100,23000,23900,23000,22400,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,211,207,190,249,230,217,252,270,286,296,298,317,323,324,313,332,324,329,
Nepal,,,,,,,,,,,,3600,3680,3760,3840,3930,4020,4110,4200,4300,4400,4500,4600,4710,4810,4910,5030,5140,5250,5370,5500,5620,5730,5860,5990,6140,6270,6400,6540,6710,7140,7340,7620,7790,7970,8150,8300,8460,8640,8820,
Netherlands,10200,10500,9980,10100,10400,11100,11400,12800,17200,22400,28900,37300,47800,56800,66700,71300,76300,76000,70000,73500,71800,66800,57500,61800,62900,66300,62300,61900,55300,59500,60500,67400,67400,68500,66400,66700,74600,66200,63700,59500,57600,61500,60700,58700,68000,62200,61100,61300,66600,63100,69700
New Zealand,2490,2580,2700,3030,3350,3380,3420,3150,3250,3320,3400,3420,3840,4050,4580,4800,5440,6100,5960,5280,5470,5770,6680,7140,7990,8950,9880,9680,10400,11500,11500,12100,12400,12900,12600,12700,13800,14500,13400,13700,14100,14200,14600,13400,13000,12600,13100,14000,15000,15200,16600
Nicaragua,,,,,,,,,,,,736,758,796,822,852,888,881,890,918,907,921,951,976,1220,1300,1220,1230,1260,1440,1500,1540,1520,1510,1490,1500,1550,1600,1460,1480,1550,1540,1660,1810,1930,1950,2090,1660,1690,1710,
Nigeria,,,,,,,,,,,,112000,127000,140000,151000,128000,144000,146000,137000,159000,149000,119000,113000,112000,121000,128000,128000,123000,132000,148000,151000,157000,162000,165000,166000,169000,182000,194000,189000,188000,202000,211000,196000,216000,230000,233000,235000,231000,228000,229000,
North Korea,,,,,,,,,,,,18200,18700,19100,19700,20500,21700,23000,24100,25600,27200,28100,29500,29700,30500,31800,31500,31000,30600,30400,28900,28100,24500,22500,21300,20000,17900,17400,15900,17700,18800,19300,18700,19300,20200,22000,22300,19700,20800,20300,
Norway,2970,3150,3600,3690,4120,4550,4480,4880,5410,5200,5290,6030,7650,8060,8570,16100,21800,23300,36900,45900,55000,55400,55400,63500,69600,72600,74900,86500,94900,113000,119000,131000,147000,155000,170000,184000,207000,213000,206000,209000,227000,226000,235000,234000,228000,224000,215000,215000,219000,214000,205000
Oman,,,,,,,,,,,,15200,14600,15200,15100,17800,19000,17600,16500,15600,15100,17400,17900,20700,22400,26800,30300,31600,33600,34700,38300,39500,41700,44300,46300,48700,50200,51500,51800,54000,61000,65300,63300,60500,58900,60300,61700,60500,63400,67200,
Pakistan,,,,,,,,,,,,14400,14800,15600,16400,17100,17400,18300,19000,19800,20900,22100,23100,24000,24400,26000,27500,30200,31400,33100,34200,36200,37700,39000,39500,41000,42000,42200,43300,45100,46900,49000,50100,55300,58800,61500,61900,64200,63300,64900,
Panama,,,,,,,,,,,,342,339,342,366,380,405,442,487,499,527,568,568,539,594,604,605,600,610,612,612,603,624,663,651,604,701,704,643,730,756,678,738,689,753,735,751,695,698,666,
Paraguay,,,,,,,,,,,,1170,1190,1270,1300,1250,1310,1330,1420,1470,1610,1630,1670,1750,1760,2030,2780,3670,3880,4310,4580,4880,4520,4820,5380,6030,6390,7010,6860,6740,6840,6160,6290,6620,6630,6730,7130,7290,7530,7440,
Peru,,,,,,,,,,,,7350,7520,7870,8300,8050,8360,9230,12300,14200,14500,14600,15000,13600,14600,14700,13900,12900,11600,10800,10600,9830,9600,10100,10100,10000,9960,9740,9790,9530,9360,9410,9290,9510,9610,10900,11700,12500,12700,15100,
Philippines,,,,,,,,,,,,7530,7700,8070,8350,8600,8900,9100,9410,11300,12200,12900,14100,15400,16000,16500,16400,16000,16500,17000,17200,16800,16900,16500,16500,15800,15800,16100,17300,18700,19600,18400,20100,20600,20900,21400,21400,22200,23000,23500,
Poland,64800,66800,68700,71300,75700,77300,79900,81500,85900,91600,95800,99300,104000,107000,111000,116000,120000,123000,132000,135000,127000,108000,125000,127000,128000,129000,131000,132000,132000,122000,104000,99800,97700,97400,97400,99400,99000,100000,87600,83900,79600,80300,80200,79900,78800,78700,77600,72500,71400,67500,67800
